model,condition,kind,label,tp,fp,fn,precision,recall,f1
DeepSeek,joint,relation,SuggestiveOf,28,49,36,0.36363636363636365,0.4375,0.39716312056737585
DeepSeek,human,entity,ANAT,564,46,123,0.9245901639344263,0.8209606986899564,0.8696993060909791
DeepSeek,human,entity,OBS-DP,415,128,182,0.7642725598526704,0.695142378559464,0.7280701754385966
DeepSeek,human,entity,OBS-DA,176,35,29,0.8341232227488151,0.8585365853658536,0.846153846153846
DeepSeek,human,entity,OBS-U,57,57,40,0.5,0.5876288659793815,0.5402843601895734
DeepSeek,human,relation,Modify,395,226,336,0.6360708534621579,0.5403556771545828,0.584319526627219
DeepSeek,human,relation,LocatedAt,196,153,176,0.5616045845272206,0.5268817204301075,0.5436893203883495
DeepSeek,human,relation,SuggestiveOf,30,44,34,0.40540540540540543,0.46875,0.43478260869565216
DeepSeek,minimal_R,entity,ANAT,639,60,48,0.9141630901287554,0.9301310043668122,0.9220779220779222
DeepSeek,minimal_R,entity,OBS-DP,472,149,125,0.7600644122383253,0.7906197654941374,0.7750410509031199
DeepSeek,minimal_R,entity,OBS-DA,194,27,11,0.8778280542986425,0.9463414634146341,0.9107981220657276
DeepSeek,minimal_R,entity,OBS-U,56,57,41,0.49557522123893805,0.5773195876288659,0.5333333333333332
DeepSeek,minimal_R,relation,Modify,392,209,339,0.6522462562396006,0.5362517099863201,0.5885885885885886
DeepSeek,minimal_R,relation,LocatedAt,214,147,158,0.592797783933518,0.5752688172043011,0.5839017735334243
DeepSeek,minimal_R,relation,SuggestiveOf,24,50,40,0.32432432432432434,0.375,0.34782608695652173
DeepSeek,author,entity,ANAT,656,75,31,0.8974008207934336,0.9548762736535662,0.9252468265162199
DeepSeek,author,entity,OBS-DP,414,68,183,0.8589211618257261,0.6934673366834171,0.7673772011121409
DeepSeek,author,entity,OBS-DA,179,9,26,0.9521276595744681,0.8731707317073171,0.9109414758269719
DeepSeek,author,entity,OBS-U,67,41,30,0.6203703703703703,0.6907216494845361,0.6536585365853658
DeepSeek,author,relation,Modify,463,176,268,0.7245696400625978,0.6333789329685362,0.6759124087591241
DeepSeek,author,relation,LocatedAt,234,146,138,0.6157894736842106,0.6290322580645161,0.6223404255319149
DeepSeek,author,relation,SuggestiveOf,34,38,30,0.4722222222222222,0.53125,0.4999999999999999
DeepSeek,author_routed_joint,entity,ANAT,648,94,39,0.8733153638814016,0.9432314410480349,0.9069279216235129
