model,condition,kind,tp,fp,fn,precision,recall,f1
Terra,G0,relation,654,482,513,0.5757042253521126,0.5604113110539846,0.5679548415110726
Terra,Gstar,entity,1370,167,216,0.8913467794404685,0.8638083228247163,0.8773615113672751
Terra,Gstar,relation,681,388,486,0.637043966323667,0.583547557840617,0.60912343470483
Terra,joint,entity,1381,173,205,0.8886743886743886,0.8707440100882724,0.8796178343949045
Terra,joint,relation,703,365,464,0.6582397003745318,0.6023993144815767,0.629082774049217
Terra,human,entity,1295,244,291,0.8414554905782976,0.8165195460277428,0.8288000000000001
Terra,human,relation,693,430,474,0.6170970614425646,0.5938303341902313,0.605240174672489
Terra,minimal_R,entity,1370,167,216,0.8913467794404685,0.8638083228247163,0.8773615113672751
Terra,minimal_R,relation,690,388,477,0.640074211502783,0.5912596401028277,0.6146993318485523
Terra,author,entity,1310,269,276,0.8296390120329322,0.8259773013871374,0.8278041074249605
Terra,author,relation,701,452,466,0.6079791847354726,0.6006855184233076,0.6043103448275862
Terra,author_routed_joint,entity,1321,243,265,0.8446291560102301,0.8329129886506935,0.8387301587301588
Terra,author_routed_joint,relation,722,443,445,0.6197424892703862,0.6186803770351328,0.6192109777015437
Terra,author_full,entity,1326,249,260,0.8419047619047619,0.8360655737704918,0.8389750079088896
Terra,author_full,relation,716,427,451,0.626421697287839,0.6135389888603257,0.6199134199134199
Terra,author_full_joint,entity,1308,247,278,0.8411575562700965,0.8247162673392182,0.8328557784145177
Terra,author_full_joint,relation,709,445,458,0.6143847487001733,0.6075407026563839,0.6109435588108575
Terra,human_joint,entity,1273,295,313,0.8118622448979592,0.8026481715006305,0.8072289156626505
Terra,human_joint,relation,675,491,492,0.5789022298456261,0.5784061696658098,0.5786540934419203
Sol,S0,entity,232,530,1354,0.30446194225721784,0.14627994955863807,0.19761499148211242
Sol,S0,relation,35,360,1132,0.08860759493670886,0.029991431019708654,0.04481434058898848
Sol,G0,entity,1389,208,197,0.8697557921102066,0.8757881462799496,0.8727615457115928
Sol,G0,relation,773,381,394,0.669844020797227,0.662382176520994,0.6660922016372254
Sol,Gstar,entity,1382,188,204,0.8802547770700637,0.8713745271122321,0.8757921419518379
Sol,Gstar,relation,793,334,374,0.7036379769299024,0.6795201371036846,0.6913687881429817
Sol,joint,entity,1422,175,164,0.8904195366311835,0.8965952080706179,0.8934967012252593
Sol,joint,relation,831,327,336,0.7176165803108808,0.712082262210797,0.7148387096774194
Sol,human,entity,1324,204,262,0.8664921465968587,0.8348045397225725,0.8503532434168273
Sol,human,relation,726,401,441,0.6441881100266194,0.622107969151671,0.6329555361813427
Sol,minimal_R,entity,1382,188,204,0.8802547770700637,0.8713745271122321,0.8757921419518379
Sol,minimal_R,relation,748,433,419,0.6333615580016935,0.6409597257926307,0.637137989778535
Sol,author,entity,1340,227,246,0.8551372048500319,0.8448928121059268,0.8499841420869012
Sol,author,relation,761,405,406,0.6526586620926244,0.6520994001713796,0.652378911273039
Sol,author_full,entity,1349,221,237,0.859235668789809,0.8505674653215637,0.8548795944233207
Sol,author_full,relation,768,399,399,0.6580976863753213,0.6580976863753213,0.6580976863753213
Sol,author_full_joint,entity,1345,213,241,0.8632862644415917,0.8480453972257251,0.8555979643765903
Sol,author_full_joint,relation,763,408,404,0.6515798462852262,0.6538131962296486,0.6526946107784432
Sol,human_joint,entity,1264,284,322,0.8165374677002584,0.7969735182849937,0.8066368857689853
Sol,human_joint,relation,657,509,510,0.5634648370497427,0.5629820051413882,0.5632233176168024
